Rxn,Flux
GTPCI,0.000763625429502
GTPCII2,0.00038182148130000003
GTPHs,0.013525461618784
H2Otex,-8.6298558323885
H2Otpp,-8.6298558323885
HCO3E,0.620301954469126
HEX1,55.1
HISTD,0.032492672145701
HISTP,0.032492672145701
HISTRS,0.032492672145701
HPN4,0.012199780965553
HPN5,0.012199780965553
HPN6,0.005277577555136
HPPK2,0.000763625429502
HSDy,-0.331412377964107
HSERTA,0.033235205184861
HSK,0.298177172779247
HSTPT,0.032492672145701
Htex,-20.905007009485566
ICDHyr,0.32322904721657
ICYSDS,0.000190904794051
IGPDH,0.032492672145701
IGPS,0.011986168167954
ILETA,-0.086922898142055
ILETRS,0.086922898142055
IMPC,-0.189383874262902
IMPD,0.074473525556288
IPMD,0.12214442513154
IPPS,0.12214442513154
KARA1,-0.230956338466323
KARA2,0.086922898142055
KAS15,0.033560401450828
Kt2pp,0.158411197885422
Ktex,0.15841119788535707
LDH_D,-19.039637940182445
LEUTAi,0.12214442513154
LEUTRS,0.12214442513154
LYSTRS,0.087054560295128
MAN1PT2,0.013270718783659
MAN6PI,-0.013270718783659
ME1,0.236866862858209
MECDPS,0.170644616942288
MEPCT,0.170644616942288
METAT,0.0188747768262
METB1,0.033235205184861
METS,0.033772171608074
METTRS,0.033044305945106
MG2t3_2pp,0.007041935761415
MG2tex,0.007041935761321838
MOBDabcpp,5.629236887e-06
MOBDtex,5.629236852655595e-06
MTHFC,0.093730488195905
MTHFD,0.093730488195905
MTHFR2,0.033963067011368
NADK,0.000380545119911
NADS1,0.001948214941801
NDPK1,3.108285988566709
NDPK2,0.161135815707691
NDPK3,0.171517055259947
NDPK4,0.007669942336461
NDPK5,0.006619616074656
NDPK7,0.014289553559889
NDPK8,0.007669932099206
NH4tex,3.1865714413316937
NH4tpp,3.186571441331777
NNATr,0.001948214941801
NNDPR,0.001948214941801
NTD3,0.007669942336461
NTPP11,0.013525461618784
NTPP3,0.007669942336461
OCBT,0.085014562235577
OHPBAT,0.000190899733203
OMCDC,0.12214442513154
OMPDC,0.118001035259375
ORNCD,-0.090285198051483
ORNDC,0.028382570756571
ORNTAC,0.023111934940666
ORPT,-0.118001035259375
P5CR,0.154563623878076
PAPPT3,0.00814825
PDX5PO2,0.000190899733203
PERD,0.000190899733203
PGAMT,-0.028496280965553
PGCD,0.282375112831629
PGI,0.341414903865668
PGK,-54.19231702056271
PGL,54.743946596651575
PGM,-53.90994190773108
PGMT,-0.014638499482762
PGPP_ZM,0.006335194186898
PGSA_ZM,0.006335194186898
PHETA1,-0.048480775727243
PItex,0.27635944718485916
PMANM,-0.013270718783659
PMDPHT,0.0003818214813
PMPK,0.000190904794051
PNTK,0.000491790674883
PNTOt4pp,0.000491790674883
PNTOtex,0.0004917906748005407
PPA,2.755793683237344
PPA2,0.061718714828173
PPC,1.367009173707092
PPCDC,0.000491790674883
PPK2r,0.061718714828173
PPNCL2,0.000491790674883
PPND,0.035700195674244
PPNDH,0.048480775727243
PRAGSr,0.157082106911253
PRAIi,0.011986168167954
PRAIS,0.157082106911253
PRAMPC,0.032492672145701
PRASCSi,0.156891202117201
PRATPP,0.032492672145701
PRMICI,0.032492672145701
PROTRS,0.064278425826593
PRPPS,0.321510197426091
PSCVT,0.096930764998943
PSD_ZM,0.008335007015765
PSERT,0.282375112831629
PSP_L,0.282375112831629
PSSA_ZM,0.008335007015765
PTPATi,0.000491790674883
PYK,52.11577077836955
PYRDC,86.26197998966839
QULNS,0.001948214941801
RBFK,0.000190902753912
RBFSa,0.000763642962601
RBFSb,0.0003818214813
RPE,-0.322273840388691
RPI,-0.321510197426091
SDPDS,0.095202810295128
SDPTA,-0.095202810295128
SERAT,0.045770621502316
SERTRS,0.080728908598171
SHC1,0.018250572858643
SHK3Dr,0.096930764998943
SHKK,0.096930764998943
SO4t2pp,0.049285225279641
SO4tex,0.04928522527961832
SQLS,0.018250572858642997
SUCCt3pp,0.119949250201176
SUCCtex,-0.11994925020121627
T2DECAI,0.028056495612892
THDPS,0.095202810295128
THRAi,0.137917044006383
THRD_L,0.086922898142055
THRS,0.298177172779247
THRTRS,0.073337230630809
THZPSN3,0.000190904794051
TKT2,-0.322273840388691
TMDS,0.007669942336461
TMPK,0.000190904794051
TMPPP,0.000190904794051
TPI,-0.047689546126348
TRPTRS,0.011986168167954
TYRL,0.000190904794051
TYRTA,-0.035700195674244
TYRTRS,0.035509290880193
UAAGDS,0.00814825
UAGCVT,0.00814825
UAGDP,0.028496280965553
UAGPT3,0.00814825
