rxnid	kapp (1/s)
RXN-PPC_FWD-ZMO1496	295.0410391641307
RXN-CS_FWD-ZMO1963	38.487237636575436
RXN-TKT2_REV-ZMO0176	42.58800218282942
RXN-GLYTRS_FWD-ZMOenz36	9.709890127796916
RXN-UAAGDS_FWD-ZMO0826	2.0325554726225246
RXN-CYSTRS_FWD-ZMO0186	0.4479776963592928
RXN-PRPPS_FWD-ZMO1519	43.57061027620454
RXN-TMPK_FWD-ZMO1553	0.06912704577275836
RXN-ATPPRT_FWD-ZMO1550	0.9275213962016441
RXN-PROTRS_FWD-ZMO0460	2.893506368769895
RXN-DAPDC_FWD-ZMO1768	31.01976724270257
RXN-MTHFR2_FWD-ZMO1747	6.377801367221965
RXN-GLUR_REV-ZMO1197	4.457610820384118
RXN-DHDPRy_FWD-ZMO0707	10.949233696374465
RXN-PRAGSr_FWD-ZMO0299	9.925860095015123
RXN-IPPS_FWD-ZMO0903	22.164063664983605
RXN-GTHOr_FWD-ZMO1211	6.850515063780906
RXN-LEUTRS_FWD-ZMO1435	6.939186534969878
RXN-ATPS4rpp_REV-ZMOenz20	113.67827176258392
RXN-PSP_L_FWD-ZMO1137	3.0278238085000315
RXN-ASAD_REV-ZMO1407	11.205844451354762
RXN-SDPDS_FWD-ZMO1632	35.1269672972453
RXN-DHNPA2r_FWD-ZMO1059	0.24664833955785456
RXN-NADK_FWD-ZMO1329	0.06079433482095536
RXN-SCYSDS_FWD-ZMOenz25	0.10051571251793322
RXN-GK1_FWD-ZMO0433	10.22940380391423
RXN-RPI_REV-ZMO1200	37.470018834147446
RXN-NNATr_FWD-ZMO1662	2.8606927966813713
RXN-PRAIS_FWD-ZMO0709	5.234803813060721
RXN-GLU5K_FWD-ZMO0206	14.05445069074022
RXN-PRATPP_FWD-ZMO1499	6.397708421062111
RXN-CLPNS_ZM_FWD-ZMO0314	0.5237055616558525
RXN-DHQS_FWD-ZMO0593	13.174038972006235
RXN-ALAALAr_FWD-ZMO0834	0.5910865935408991
RXN-VALTRS_FWD-ZMO1878	9.923892150347482
RXN-ASPCT_FWD-ZMO0791	222.31306684593767
RXN-LYSTRS_FWD-ZMO0890	11.034506611839172
RXN-IG3PS_FWD-ZMOenz37	2.8778234789334465
RXN-FUM_FWD-ZMO1307	105.1916975097915
RXN-PMANM_REV-ZMO0339	0.34277274671370483
RXN-RBFSb_FWD-ZMO0475	0.020661057460250525
RXN-EDA_FWD-ZMO0997	904.9387287649839
RXN-DASYN_ZM_FWD-ZMO1151	59.794082655846644
RXN-PFL_FWD-ZMOenz40	189.8304931742929
RXN-ME1_FWD-ZMO1955	9.177963618043105
RXN-DUTPDP_FWD-ZMO1191	0.45348018665261736
RXN-AIRC3_REV-ZMO1420	14.861819299535249
RXN-IMPD_FWD-ZMO1321	3.978715216882861
RXN-HPN4_FWD-ZMO0972	12.513194151748692
RXN-HPN2_FWD-ZMO0873	17.93220767456889
RXN-ADCS_FWD-ZMOenz8	0.2556692828437505
RXN-ADCL_FWD-ZMO1277	0.47651321738337615
RXN-PERD_FWD-ZMO1008	0.027912860755972647
RXN-GTPCI_FWD-ZMO1229	1.1646021166949738
RXN-PGAMT_REV-ZMO1002	3.0422675949820994
RXN-GARFT_FWD-ZMO0708	11.822433674961992
RXN-TYRTRS_FWD-ZMO1643	3.2846756023390267
RXN-CHORM_FWD-ZMO0563	2.3138997291691275
RXN-FE2abcpp_FWD-ZMO1541	1.2095529575423434
RXN-HPN6_FWD-ZMO0973	0.10790127988804404
RXN-NDPK1_FWD-ZMO0538	219.83460029660142
RXN-NDPK7_FWD-ZMO0538	219.83460029660142
RXN-NDPK4_FWD-ZMO0538	219.83460029660142
RXN-NDPK8_FWD-ZMO0538	219.83460029660142
RXN-NDPK2_FWD-ZMO0538	219.83460029660142
RXN-NDPK5_FWD-ZMO0538	219.83460029660142
RXN-ADNK1_FWD-ZMO0538	219.83460029660142
RXN-NDPK6_FWD-ZMO0538	219.83460029660142
RXN-NDPK3_FWD-ZMO0538	219.83460029660142
RXN-ADK1_FWD-ZMO0538	219.83460029660142
RXN-ACONTa_FWD-ZMO0543	18.683857730811408
RXN-ACONTb_FWD-ZMO0543	18.683857730811408
RXN-IPPMIa_REV-ZMOenz7	21.03739386558118
RXN-IPPMIb_REV-ZMOenz7	21.03739386558118
RXN-EAR141x_FWD-ZMO1692	3.1560109411562185
RXN-EAR161x_FWD-ZMO1692	3.1560109411562185
RXN-EAR160x_FWD-ZMO1692	3.1560109411562185
RXN-EAR140x_FWD-ZMO1692	3.1560109411562185
RXN-EAR60x_FWD-ZMO1692	3.1560109411562185
RXN-EAR121x_FWD-ZMO1692	3.1560109411562185
RXN-EAR40x_FWD-ZMO1692	3.1560109411562185
RXN-EAR80x_FWD-ZMO1692	3.1560109411562185
RXN-EAR120x_FWD-ZMO1692	3.1560109411562185
RXN-EAR181x_FWD-ZMO1692	3.1560109411562185
RXN-EAR100x_FWD-ZMO1692	3.1560109411562185
RXN-GAPD_FWD-ZMO0177	272.831478603873
RXN-E4PD_FWD-ZMO0177	272.831478603873
RXN-G6PDH2xr_FWD-ZMO0367	325.79553178560275
RXN-G6PDH2r_FWD-ZMO0367	325.79553178560275
RXN-PSERT_FWD-ZMO1684	5.229088466156197
RXN-OHPBAT_FWD-ZMO1684	5.229088466156197
RXN-KARA1_REV-ZMO1141	2.8396666715580903
RXN-KARA2_FWD-ZMO1141	2.8396666715580903
RXN-FADRx2_FWD-ZMOenz6	1.6240285344348564
RXN-SULRi_FWD-ZMOenz6	1.6240285344348564
RXN-MTHFC_FWD-ZMO0914	26.715758485943528
RXN-MTHFD_FWD-ZMO0914	26.715758485943528
RXN-IPDPS_fdx_FWD-ZMO0875	1.2160410851446093
